country,total_papers,total_citations,topic,name
Argentina,2,0,135763542,Genotype
Argentina,11,89,141231307,Genome
Argentina,6,6,143065580,Mutant
Argentina,5,17,143121216,Microbiome
Argentina,4,0,147004232,Stimulus (physiology)
Argentina,9,8,150194340,Gene expression
Argentina,6,14,152662350,Systems biology
Argentina,4,18,153911025,Molecular biology
Argentina,13,30,154945302,Artificial intelligence
Argentina,5,5,162317418,Transcriptome
Argentina,2,16,165864922,Regulation of gene expression
Argentina,14,8,169760540,Neuroscience
Argentina,5,28,169900460,Cognition
Argentina,12,5,170493617,Receptor
Argentina,6,22,178980831,Pattern recognition
Argentina,6,29,180747234,Cognitive psychology
Argentina,4,31,180754005,Allele
Argentina,2,0,181199279,Enzyme
Argentina,4,5,184235292,Kinase
Argentina,5,11,185592680,Chemistry
Argentina,2,3,186060115,Biological system
Argentina,2,2,189014844,Cell type
Argentina,4,39,189206191,Genomics
Argentina,3,13,190727270,DNA methylation
Argentina,7,41,193252679,Phylogenetic tree
Argentina,4,55,203014093,Immunology
Argentina,1,0,207001950,In vivo
Argentina,4,44,501734568,Mutation
Argentina,3,13,502942594,Cancer research
Argentina,5,3,522805319,Electroencephalography
Argentina,2,3,552990157,DNA
Argentina,13,64,1491633281,Cell
Argentina,3,3,2522874641,Virus
Argentina,3,2,2776460866,Pathogen
Argentina,2,2,2776878037,Zebrafish
Argentina,2,19,2777904410,Software
Argentina,3,0,2779134260,Disease
Argentina,7,74,2780104201,Drosophila melanogaster
Argentina,22,708,2908647359,Population
Armenia,1,0,12554922,Biophysics
Armenia,3,10,18903297,Ecology
Armenia,15,1443,54355233,Genetics
Armenia,2,4,55493867,Biochemistry
Armenia,1,8,60644358,Bioinformatics
Armenia,6,1249,78458016,Evolutionary biology
Armenia,17,1449,86803240,Biology
Armenia,2,4,89423630,Microbiology
Armenia,1,0,95444343,Cell biology
Armenia,1,1,104317684,Gene
Armenia,1,12,141231307,Genome
Armenia,1,1,185592680,Chemistry
Armenia,1,8,189206191,Genomics
Armenia,2,3,193252679,Phylogenetic tree
Armenia,7,1249,2908647359,Population
Australia,61,480,7466232,Biomarker (medicine)
Australia,90,827,8891405,Immune system
Australia,35,497,11413529,Algorithm
Australia,61,141,12554922,Biophysics
Australia,49,770,15151743,Metagenomics
Australia,189,6501,15744967,Psychology
Australia,297,3055,18903297,Ecology
Australia,90,6120,24432333,Whole genome sequencing
Australia,37,617,24998067,Stimulation
Australia,98,710,26760741,Perception
Australia,29,475,28328180,Stem cell
Australia,40,392,29537977,Cell cycle
Australia,53,1282,30481170,Chromosome
Australia,41,367,34601148,Transcription (biology)
Australia,139,7245,41008148,Computer science
Australia,95,1032,41091548,Epigenetics
Australia,19,179,50644808,Artificial neural network
Australia,99,14969,51679486,DNA sequencing
Australia,2493,95418,54355233,Genetics
Australia,97,1058,55493867,Biochemistry
Australia,49,487,59822182,Botany
Australia,1355,38490,60644358,Bioinformatics
Australia,23,432,62478195,Signal transduction
Australia,91,1332,67705224,RNA
Australia,125,13974,68873052,Genetic variation
Australia,272,15422,70721500,Computational biology
Australia,122,13478,71924100,Medicine
Australia,45,1154,73555534,Cluster analysis
Australia,205,5386,78458016,Evolutionary biology
Australia,24,429,79879829,Intracellular
Australia,68,12161,81941488,Quantitative trait locus
Australia,66,956,83640560,Chromatin
Australia,224,11678,84597430,Locus (genetics)
Australia,62,705,86339819,Transcription factor
Australia,4140,117152,86803240,Biology
Australia,84,1409,89423630,Microbiology
Australia,55,1903,90132467,Phylogenetics
Australia,66,637,90856448,Zoology
Australia,79,629,94487597,Sensory system
Australia,328,4560,95444343,Cell biology
Australia,32,368,96232424,Cancer cell
Australia,23,1331,98108389,CRISPR
Australia,532,20471,104317684,Gene
Australia,30,146,105580179,Messenger RNA
Australia,54,971,105702510,Anatomy
Australia,86,1739,105795698,Statistics
Australia,248,52623,106208931,Genome-wide association study
Australia,73,2641,106934330,Trait
Australia,29,258,111936080,Enhancer
Australia,95,997,119857082,Machine learning
Australia,111,1650,121608353,Cancer
Australia,98,7267,124101348,Data mining
Australia,209,3022,126322002,Internal medicine
Australia,135,2549,127716648,Phenotype
Australia,104,1310,134018914,Endocrinology
Australia,122,2737,135763542,Genotype
Australia,480,21194,141231307,Genome
Australia,47,181,143065580,Mutant
Australia,60,883,143121216,Microbiome
Australia,142,1324,147004232,Stimulus (physiology)
Australia,130,1536,150194340,Gene expression
Australia,38,1612,152662350,Systems biology
Australia,157,8872,153209595,Single-nucleotide polymorphism
Australia,79,4669,153911025,Molecular biology
Australia,251,3139,154945302,Artificial intelligence
Australia,119,2216,159047783,Virology
Australia,170,3418,162317418,Transcriptome
Australia,47,3110,165864922,Regulation of gene expression
Australia,269,3893,169760540,Neuroscience
Australia,141,1705,169900460,Cognition
Australia,50,262,170493617,Receptor
Australia,112,1835,178980831,Pattern recognition
Australia,140,2088,180747234,Cognitive psychology
Australia,91,1511,180754005,Allele
Australia,26,148,181199279,Enzyme
Australia,20,53,184235292,Kinase
Australia,45,697,185592680,Chemistry
Australia,40,605,186060115,Biological system
Australia,136,19175,186413461,Genetic association
Australia,55,1215,189014844,Cell type
Australia,239,14435,189206191,Genomics
Australia,123,4492,190727270,DNA methylation
Australia,104,1002,193252679,Phylogenetic tree
Australia,106,2351,203014093,Immunology
Australia,45,690,207001950,In vivo
Australia,91,10429,501734568,Mutation
Australia,111,1430,502942594,Cancer research
Australia,111,1225,522805319,Electroencephalography
Australia,42,342,523546767,Bacteria
Australia,64,609,552990157,DNA
Australia,144,2098,1491633281,Cell
Australia,63,447,2522874641,Virus
Australia,66,791,2776214188,Inference
Australia,53,1027,2776460866,Pathogen
Australia,38,268,2776878037,Zebrafish
Australia,67,4101,2777904410,Software
Australia,223,7129,2779134260,Disease
Australia,40,240,2779345533,Visual cortex
Australia,38,682,2780104201,Drosophila melanogaster
Australia,581,18531,2908647359,Population
Austria,7,4,7466232,Biomarker (medicine)
Austria,32,361,8891405,Immune system
Austria,10,323,11413529,Algorithm
Austria,33,83,12554922,Biophysics
Austria,11,251,15151743,Metagenomics
Austria,16,207,15744967,Psychology
Austria,83,888,18903297,Ecology
Austria,9,1951,24432333,Whole genome sequencing
Austria,8,4,24998067,Stimulation
Austria,9,43,26760741,Perception
Austria,21,143,28328180,Stem cell
Austria,6,63,29537977,Cell cycle
Austria,26,610,30481170,Chromosome
Austria,25,189,34601148,Transcription (biology)
Austria,26,706,41008148,Computer science
Austria,19,1116,41091548,Epigenetics
Austria,5,17,50644808,Artificial neural network
Austria,24,2094,51679486,DNA sequencing
Austria,711,16403,54355233,Genetics
Austria,29,115,55493867,Biochemistry
Austria,25,1072,59822182,Botany
Austria,227,3844,60644358,Bioinformatics
Austria,6,46,62478195,Signal transduction
Austria,41,967,67705224,RNA
Austria,41,2459,68873052,Genetic variation
Austria,75,5099,70721500,Computational biology
Austria,16,2364,71924100,Medicine
Austria,7,148,73555534,Cluster analysis
Austria,109,1680,78458016,Evolutionary biology
Austria,15,69,79879829,Intracellular
Austria,17,1065,81941488,Quantitative trait locus
Austria,32,663,83640560,Chromatin
Austria,84,1396,84597430,Locus (genetics)
Austria,28,394,86339819,Transcription factor
Austria,1022,21120,86803240,Biology
Austria,6,647,89423630,Microbiology
Austria,30,676,90132467,Phylogenetics
Austria,28,341,90856448,Zoology
Austria,21,54,94487597,Sensory system
Austria,155,1391,95444343,Cell biology
Austria,10,204,96232424,Cancer cell
Austria,10,79,98108389,CRISPR
Austria,118,2820,104317684,Gene
Austria,12,251,105580179,Messenger RNA
Austria,12,152,105702510,Anatomy
Austria,13,31,105795698,Statistics
Austria,29,4238,106208931,Genome-wide association study
Austria,9,63,106934330,Trait
Austria,9,295,111936080,Enhancer
Austria,13,15,119857082,Machine learning
Austria,23,4675,121608353,Cancer
Austria,9,296,124101348,Data mining
Austria,23,1996,126322002,Internal medicine
Austria,31,469,127716648,Phenotype
Austria,12,84,134018914,Endocrinology
Austria,20,3495,135763542,Genotype
Austria,113,2321,141231307,Genome
Austria,18,43,143065580,Mutant
Austria,13,102,143121216,Microbiome
Austria,19,61,147004232,Stimulus (physiology)
Austria,28,216,150194340,Gene expression
Austria,10,7,152662350,Systems biology
Austria,16,1786,153209595,Single-nucleotide polymorphism
Austria,27,2137,153911025,Molecular biology
Austria,40,359,154945302,Artificial intelligence
Austria,8,32,159047783,Virology
Austria,33,240,162317418,Transcriptome
Austria,11,240,165864922,Regulation of gene expression
Austria,43,155,169760540,Neuroscience
Austria,16,84,169900460,Cognition
Austria,20,38,170493617,Receptor
Austria,11,173,178980831,Pattern recognition
Austria,15,93,180747234,Cognitive psychology
Austria,30,617,180754005,Allele
Austria,6,16,181199279,Enzyme
Austria,12,118,184235292,Kinase
Austria,16,80,185592680,Chemistry
Austria,17,372,186060115,Biological system
Austria,22,2208,186413461,Genetic association
Austria,15,404,189014844,Cell type
Austria,49,1712,189206191,Genomics
Austria,18,928,190727270,DNA methylation
Austria,39,340,193252679,Phylogenetic tree
Austria,17,806,203014093,Immunology
Austria,11,60,207001950,In vivo
Austria,17,524,501734568,Mutation
Austria,29,528,502942594,Cancer research
Austria,11,29,522805319,Electroencephalography
Austria,16,124,523546767,Bacteria
Austria,25,2003,552990157,DNA
Austria,41,472,1491633281,Cell
Austria,8,40,2522874641,Virus
Austria,29,661,2776214188,Inference
Austria,8,69,2776460866,Pathogen
Austria,12,129,2776878037,Zebrafish
Austria,8,489,2777904410,Software
Austria,25,821,2779134260,Disease
Austria,6,8,2779345533,Visual cortex
Austria,24,229,2780104201,Drosophila melanogaster
Austria,155,3672,2908647359,Population
Azerbaijan,1,0,8891405,Immune system
Azerbaijan,1,0,12554922,Biophysics
Azerbaijan,1,0,54355233,Genetics
Azerbaijan,1,0,60644358,Bioinformatics
Azerbaijan,2,0,86803240,Biology
Azerbaijan,1,0,121608353,Cancer
Azerbaijan,1,0,502942594,Cancer research
Azerbaijan,1,0,2908647359,Population
Bahrain,1,0,8891405,Immune system
Bahrain,1,0,12554922,Biophysics
Bahrain,4,6,24432333,Whole genome sequencing
Bahrain,6,7,28328180,Stem cell
Bahrain,1,0,51679486,DNA sequencing
Bahrain,29,45,54355233,Genetics
Bahrain,2,12,55493867,Biochemistry
Bahrain,25,1,60644358,Bioinformatics
Bahrain,3,30,68873052,Genetic variation
Bahrain,2,2,70721500,Computational biology
Bahrain,3,10,71924100,Medicine
Bahrain,2,4,78458016,Evolutionary biology
Bahrain,2,29,81941488,Quantitative trait locus
Bahrain,1,0,84597430,Locus (genetics)
Bahrain,59,66,86803240,Biology
Bahrain,6,19,95444343,Cell biology
Bahrain,8,6,104317684,Gene
Bahrain,1,0,105702510,Anatomy
Bahrain,1,0,106934330,Trait
Bahrain,2,1,121608353,Cancer
Bahrain,3,0,126322002,Internal medicine
Bahrain,1,0,127716648,Phenotype
Bahrain,2,0,134018914,Endocrinology
Bahrain,3,0,135763542,Genotype
Bahrain,3,0,141231307,Genome
Bahrain,3,1,143065580,Mutant
Bahrain,1,0,153209595,Single-nucleotide polymorphism
Bahrain,6,16,159047783,Virology
Bahrain,4,0,162317418,Transcriptome
Bahrain,1,0,169760540,Neuroscience
Bahrain,1,0,180754005,Allele
Bahrain,1,0,185592680,Chemistry
Bahrain,1,0,189206191,Genomics
Bahrain,3,6,193252679,Phylogenetic tree
Bahrain,3,28,203014093,Immunology
Bahrain,1,0,207001950,In vivo
Bahrain,2,0,502942594,Cancer research
Bahrain,4,0,1491633281,Cell
Bahrain,4,0,2522874641,Virus
Bahrain,4,0,2776460866,Pathogen
Bahrain,6,6,2779134260,Disease
Bahrain,1,0,2780104201,Drosophila melanogaster
Bahrain,18,50,2908647359,Population
Bangladesh,5,13,7466232,Biomarker (medicine)
Bangladesh,2,0,8891405,Immune system
Bangladesh,1,0,11413529,Algorithm
Bangladesh,2,0,15151743,Metagenomics
Bangladesh,4,1,18903297,Ecology
Bangladesh,2,12,24432333,Whole genome sequencing
Bangladesh,1,0,24998067,Stimulation
Bangladesh,4,0,30481170,Chromosome
Bangladesh,4,0,34601148,Transcription (biology)
Bangladesh,8,24,41008148,Computer science
Bangladesh,3,0,41091548,Epigenetics
Bangladesh,1,0,50644808,Artificial neural network
Bangladesh,2,0,51679486,DNA sequencing
Bangladesh,107,748,54355233,Genetics
Bangladesh,2,0,55493867,Biochemistry
Bangladesh,56,162,60644358,Bioinformatics
Bangladesh,3,13,67705224,RNA
Bangladesh,2,17,68873052,Genetic variation
Bangladesh,9,21,70721500,Computational biology
Bangladesh,3,48,71924100,Medicine
Bangladesh,2,0,73555534,Cluster analysis
Bangladesh,2,20,78458016,Evolutionary biology
Bangladesh,3,2,81941488,Quantitative trait locus
Bangladesh,2,12,83640560,Chromatin
Bangladesh,4,3,84597430,Locus (genetics)
Bangladesh,5,23,86339819,Transcription factor
Bangladesh,166,1035,86803240,Biology
Bangladesh,4,9,89423630,Microbiology
Bangladesh,4,7,90132467,Phylogenetics
Bangladesh,2,6,90856448,Zoology
Bangladesh,12,25,95444343,Cell biology
Bangladesh,3,0,96232424,Cancer cell
Bangladesh,7,18,98108389,CRISPR
Bangladesh,36,99,104317684,Gene
Bangladesh,2,5,105580179,Messenger RNA
Bangladesh,4,19,106208931,Genome-wide association study
Bangladesh,2,0,111936080,Enhancer
Bangladesh,4,5,119857082,Machine learning
Bangladesh,8,30,121608353,Cancer
Bangladesh,1,0,124101348,Data mining
Bangladesh,6,58,126322002,Internal medicine
Bangladesh,3,6,134018914,Endocrinology
Bangladesh,6,12,135763542,Genotype
Bangladesh,16,18,141231307,Genome
Bangladesh,2,0,143065580,Mutant
Bangladesh,2,0,143121216,Microbiome
Bangladesh,11,9,150194340,Gene expression
Bangladesh,4,1,152662350,Systems biology
Bangladesh,8,3,153209595,Single-nucleotide polymorphism
Bangladesh,4,12,153911025,Molecular biology
Bangladesh,15,34,154945302,Artificial intelligence
Bangladesh,11,90,159047783,Virology
Bangladesh,11,51,162317418,Transcriptome
Bangladesh,1,0,165864922,Regulation of gene expression
Bangladesh,5,4,169760540,Neuroscience
Bangladesh,1,4,169900460,Cognition
Bangladesh,9,29,178980831,Pattern recognition
Bangladesh,6,4,180754005,Allele
Bangladesh,3,0,181199279,Enzyme
Bangladesh,2,0,184235292,Kinase
Bangladesh,2,0,185592680,Chemistry
Bangladesh,2,16,186413461,Genetic association
Bangladesh,6,37,189014844,Cell type
Bangladesh,9,9,189206191,Genomics
Bangladesh,3,2,190727270,DNA methylation
Bangladesh,3,0,193252679,Phylogenetic tree
Bangladesh,6,28,203014093,Immunology
Bangladesh,1,0,207001950,In vivo
Bangladesh,5,5,501734568,Mutation
Bangladesh,3,0,502942594,Cancer research
Bangladesh,1,4,522805319,Electroencephalography
Bangladesh,1,0,523546767,Bacteria
Bangladesh,7,25,552990157,DNA
Bangladesh,5,39,1491633281,Cell
Bangladesh,6,56,2522874641,Virus
Bangladesh,1,0,2776214188,Inference
Bangladesh,3,0,2776460866,Pathogen
Bangladesh,4,12,2776878037,Zebrafish
Bangladesh,13,70,2779134260,Disease
Bangladesh,1,36,2779345533,Visual cortex
Bangladesh,19,736,2908647359,Population
Barbados,1,0,54355233,Genetics
Barbados,1,0,60644358,Bioinformatics
Barbados,4,12,86803240,Biology
Barbados,1,12,159047783,Virology
Barbados,1,0,203014093,Immunology
Belarus,1,0,7466232,Biomarker (medicine)
Belarus,1,0,34601148,Transcription (biology)
Belarus,9,615,54355233,Genetics
Belarus,1,0,55493867,Biochemistry
Belarus,4,1,60644358,Bioinformatics
Belarus,2,1,68873052,Genetic variation
Belarus,2,1,70721500,Computational biology
Belarus,4,614,78458016,Evolutionary biology
Belarus,1,0,79879829,Intracellular
Belarus,14,616,86803240,Biology
Belarus,2,0,104317684,Gene
Belarus,2,0,105795698,Statistics
Belarus,1,0,121608353,Cancer
Belarus,1,0,135763542,Genotype
Belarus,5,8,141231307,Genome
Belarus,3,1,186413461,Genetic association
Belarus,1,0,2776878037,Zebrafish
Belarus,5,1,2779134260,Disease
Belarus,3,608,2908647359,Population
Belgium,22,193,7466232,Biomarker (medicine)
Belgium,22,212,8891405,Immune system
Belgium,12,61,11413529,Algorithm
Belgium,28,104,12554922,Biophysics
Belgium,18,505,15151743,Metagenomics
Belgium,77,1200,15744967,Psychology
Belgium,84,1003,18903297,Ecology
Belgium,27,233,24432333,Whole genome sequencing
Belgium,20,34,24998067,Stimulation
Belgium,44,269,26760741,Perception
Belgium,10,55,28328180,Stem cell
Belgium,9,17,29537977,Cell cycle
Belgium,13,53,30481170,Chromosome
Belgium,18,129,34601148,Transcription (biology)
Belgium,49,959,41008148,Computer science
Belgium,12,471,41091548,Epigenetics
Belgium,18,350,50644808,Artificial neural network
Belgium,26,257,51679486,DNA sequencing
Belgium,756,10928,54355233,Genetics
Belgium,29,271,55493867,Biochemistry
Belgium,18,523,59822182,Botany
Belgium,437,6695,60644358,Bioinformatics
Belgium,12,27,62478195,Signal transduction
Belgium,33,329,67705224,RNA
Belgium,20,303,68873052,Genetic variation
Belgium,114,1382,70721500,Computational biology
Belgium,37,1024,71924100,Medicine
Belgium,15,3751,73555534,Cluster analysis
Belgium,76,1382,78458016,Evolutionary biology
Belgium,13,57,79879829,Intracellular
Belgium,13,1342,81941488,Quantitative trait locus
Belgium,12,224,83640560,Chromatin
Belgium,39,909,84597430,Locus (genetics)
Belgium,34,3174,86339819,Transcription factor
Belgium,1311,19178,86803240,Biology
Belgium,20,139,89423630,Microbiology
Belgium,24,166,90132467,Phylogenetics
Belgium,16,50,90856448,Zoology
Belgium,39,117,94487597,Sensory system
Belgium,141,800,95444343,Cell biology
Belgium,7,37,96232424,Cancer cell
Belgium,15,107,98108389,CRISPR
Belgium,149,1691,104317684,Gene
Belgium,8,19,105580179,Messenger RNA
Belgium,18,299,105702510,Anatomy
Belgium,12,5,105795698,Statistics
Belgium,28,2407,106208931,Genome-wide association study
Belgium,18,371,106934330,Trait
Belgium,8,158,111936080,Enhancer
Belgium,33,445,119857082,Machine learning
Belgium,47,3005,121608353,Cancer
Belgium,31,563,124101348,Data mining
Belgium,40,235,126322002,Internal medicine
Belgium,38,380,127716648,Phenotype
Belgium,19,90,134018914,Endocrinology
Belgium,24,43,135763542,Genotype
Belgium,129,1750,141231307,Genome
Belgium,28,251,143065580,Mutant
Belgium,12,57,143121216,Microbiome
Belgium,81,444,147004232,Stimulus (physiology)
Belgium,35,234,150194340,Gene expression
Belgium,12,207,152662350,Systems biology
Belgium,20,154,153209595,Single-nucleotide polymorphism
Belgium,36,2765,153911025,Molecular biology
Belgium,103,886,154945302,Artificial intelligence
Belgium,34,1018,159047783,Virology
Belgium,54,2963,162317418,Transcriptome
Belgium,7,122,165864922,Regulation of gene expression
Belgium,147,1152,169760540,Neuroscience
Belgium,59,376,169900460,Cognition
Belgium,16,119,170493617,Receptor
Belgium,44,214,178980831,Pattern recognition
Belgium,82,512,180747234,Cognitive psychology
Belgium,17,117,180754005,Allele
Belgium,9,9,181199279,Enzyme
Belgium,8,3,184235292,Kinase
Belgium,18,152,185592680,Chemistry
Belgium,12,160,186060115,Biological system
Belgium,19,1656,186413461,Genetic association
Belgium,11,67,189014844,Cell type
Belgium,48,1194,189206191,Genomics
Belgium,13,416,190727270,DNA methylation
Belgium,40,177,193252679,Phylogenetic tree
Belgium,27,234,203014093,Immunology
Belgium,7,34,207001950,In vivo
Belgium,35,857,501734568,Mutation
Belgium,25,194,502942594,Cancer research
Belgium,57,470,522805319,Electroencephalography
Belgium,16,50,523546767,Bacteria
Belgium,20,44,552990157,DNA
Belgium,35,872,1491633281,Cell
Belgium,29,793,2522874641,Virus
Belgium,30,3310,2776214188,Inference
Belgium,14,15,2776460866,Pathogen
Belgium,15,225,2776878037,Zebrafish
Belgium,20,234,2777904410,Software
Belgium,63,822,2779134260,Disease
Belgium,29,99,2779345533,Visual cortex
Belgium,2,54,2780104201,Drosophila melanogaster
Belgium,149,1609,2908647359,Population
Belize,1,0,54355233,Genetics
Belize,1,0,86803240,Biology
Belize,1,0,2908647359,Population
Bermuda,1,1,54355233,Genetics
Bermuda,1,1,86803240,Biology
Bermuda,1,1,2908647359,Population
Bhutan,1,0,12554922,Biophysics
Bhutan,3,7,18903297,Ecology
Bhutan,2,1,41008148,Computer science
Bhutan,3,0,54355233,Genetics
Bhutan,6,0,60644358,Bioinformatics
Bhutan,1,0,70721500,Computational biology
Bhutan,11,8,86803240,Biology
Bhutan,1,0,104317684,Gene
Bhutan,1,0,111936080,Enhancer
Bhutan,1,1,119857082,Machine learning
Bhutan,1,0,124101348,Data mining
Bhutan,1,0,143065580,Mutant
Bhutan,2,1,152662350,Systems biology
Bhutan,2,1,154945302,Artificial intelligence
Bhutan,1,0,178980831,Pattern recognition
Bhutan,2,1,2776214188,Inference
Bhutan,2,0,2776460866,Pathogen
Bhutan,1,0,2779134260,Disease
Bolivia,2,2,54355233,Genetics
Bolivia,2,2,86803240,Biology
Bolivia,1,0,104317684,Gene
Bosnia and Herzegovina,1,0,54355233,Genetics
Bosnia and Herzegovina,1,0,78458016,Evolutionary biology
Bosnia and Herzegovina,2,0,86803240,Biology
Botswana,2,7,8891405,Immune system
Botswana,1,0,30481170,Chromosome
Botswana,7,76,54355233,Genetics
Botswana,1,1,60644358,Bioinformatics
Botswana,1,24,68873052,Genetic variation
Botswana,2,5,78458016,Evolutionary biology
Botswana,2,5,84597430,Locus (genetics)
Botswana,9,83,86803240,Biology
Botswana,3,7,89423630,Microbiology
Botswana,1,0,90132467,Phylogenetics
Botswana,1,4,127716648,Phenotype
Botswana,2,4,159047783,Virology
Botswana,1,3,189014844,Cell type
Botswana,1,0,189206191,Genomics
Botswana,1,0,193252679,Phylogenetic tree
Botswana,1,1,2522874641,Virus
Botswana,2,46,2776460866,Pathogen
Botswana,5,29,2908647359,Population
Brazil,17,161,7466232,Biomarker (medicine)
Brazil,43,126,8891405,Immune system
Brazil,2,0,11413529,Algorithm
Brazil,27,76,12554922,Biophysics
Brazil,26,159,15151743,Metagenomics
Brazil,31,246,15744967,Psychology
Brazil,112,685,18903297,Ecology
Brazil,14,41,24432333,Whole genome sequencing
Brazil,14,48,24998067,Stimulation
Brazil,6,16,26760741,Perception
Brazil,8,37,28328180,Stem cell
Brazil,7,41,29537977,Cell cycle
Brazil,6,1,30481170,Chromosome
Brazil,13,87,34601148,Transcription (biology)
Brazil,18,223,41008148,Computer science
Brazil,9,18,41091548,Epigenetics
Brazil,5,7,50644808,Artificial neural network
Brazil,30,1367,51679486,DNA sequencing
Brazil,773,4353,54355233,Genetics
Brazil,38,225,55493867,Biochemistry
Brazil,23,119,59822182,Botany
Brazil,354,989,60644358,Bioinformatics
Brazil,11,2,62478195,Signal transduction
Brazil,18,47,67705224,RNA
Brazil,31,269,68873052,Genetic variation
Brazil,55,1470,70721500,Computational biology
Brazil,37,1096,71924100,Medicine
Brazil,4,8,73555534,Cluster analysis
Brazil,72,535,78458016,Evolutionary biology
Brazil,6,3,79879829,Intracellular
Brazil,17,270,81941488,Quantitative trait locus
Brazil,10,79,83640560,Chromatin
Brazil,56,548,84597430,Locus (genetics)
