name,id,level,parents,children
Transformation (genetics),204241405,4,150194340|102230213,2780639811|2780058085|178050479|83301785|104320060|2777596221
Stratigraphy,109281948,3,77928131,192797867
Raphe,2777615928,5,2775864247,
Frequency response,8590192,2,24326235|119599485|65244806,""
Epidermis (botany),93536670,2,153911025|59822182|105702510,2778379841|2778370115|136547172|2992020780|2777074287|93693940|2777624698|2910754589|24361215
Hepatitis B virus,2780593183,3,555293320|2522874641,2780617729|2781037505|2909032323|2909322542|2777410769|2777869810
Benzene,2777691172,2,179104552|75473681|178790620,2779348937|2779896714|2779533485
Duality (optimization),185503591,2,126255220|202444582|134306372,""
Temporal lobe,2781099131,4,2778186239,2777597344|2779513729|2778048578|2910272419|103539492|2909560870|2778317145|2910470857|2910596552|2777715688|2780910289|2910658773|2908718943|2911123767|2778048536|2994116697|2910821464|2777618171
Learning disability,15107229,2,138496976|19417346|70410870,2909619517|2781240919
Adenosine,2776991684,3,555293320,18880352|57306754|2779340330|2779876172|2777610669|2780636463|34628245
Cardiac surgery,2778789114,3,555293320,""
Distance education,503872463,2,145420912|49774154|19417346,""
Inference,2776214188,2,11413529|119857082|105795698,46743427|2777472644|2983620230|2779762310|2992068904|2993258377|2986437159|2987337328|2781280628|2993597684|2993729909|2779377595|2983087165
Mass media,558299567,2,112698675|39549134|29595303,""
Image sensor,76935873,2,49040817|120665830|31972630,155512908
Gram-positive bacteria,2779518903,4,4937899,2910624522|2778257861
Eutrophication,186699998,3,142796444,105859001|2992635301|2994536590|152913119
Quantum computer,58053490,3,84114770,192353077|169460222
Water stress,2983671280,2,6557445|59822182|144027150,""
Electrostatics,117626034,2,179104552|55493867|178790620,2776810928
Bacteriophage,2776441376,4,547475151,48292096|2992333313|2776336130|2910978944|2910423557|2777286284|2911016461|2909274510|2911213968|2909483668|2779256223|2776691746|2779878436|136199206|10079403|2778588722|2909058747|2911115067|2777130051|2910617796|73445445|2778739656|2777806800|2778194641|2780128593|2777410134|2780984408|2779637723|42943712|2780048736|2779296227|197480550|2779056743|2778303719|2775940340|2778686079
Educational attainment,2779297142,2,50522688|19417346|77805123,""
Parathyroid hormone,2781208988,3,555293320|519063684,2777645128|2778838027|2778248654|142590548|2780356894
Tibia,2777236700,2,29694066|141071460|105702510,2778879140|2910127053
Health insurance,2983635472,3,160735492,2910687720|2993951569|2994140446
Surface energy,195839,2,179104552|159985019|42360764,""
Polyacrylamide gel electrophoresis,101660505,3,181199279,35859425|2780469449
Benchmarking,86251818,2,162853370,""
Speech perception,99209842,3,26760741,2910296422|2992349672|186393131|33640556|2776234421|202101335|2911086781|2986342686
Compaction,196715460,2,187320778|159985019|114793014,""
Lumbar vertebrae,2779835254,3,44575665,""
Systole,169554166,5,57900726,
Gap junction,158157758,3,555293320|1491633281|79879829,2781175142|2779486281|2780961449|2908872077|118322738|2780228694|2780363510
Soil biology,53421856,3,159750122,154885393|53145804|2778818373
Queue,160403385,2,79403827|31258907|120314980,""
Numerical stability,176321772,3,48753275,39177556
Cnidaria,2779356992,3,143020374,2779002112|2777487491|2778982023|82383113|2779322250|2910315665|2778283926|2910125352|2909075893|32229687|2779672378|202294206|2776920260|2780663750|2777738586|2909836766|2776927070|159040490|2780021116|2778652414
Multiple drug resistance,133936738,3,501593827|104317684,2778707650|2910153162|2910111662|2910687120|187334104|36201501
Greedy algorithm,51823790,2,11413529|119857082|126255220,2987489584
Gastric mucosa,2781443798,4,2779422922,2776278315|2779743957
Etoposide,2778119113,4,121608353|2776694085,2777506904|2910171990|2780500152
Streptomyces,2779920670,3,555293320|501593827|523546767,2777915650|2778537315|2776935383|2781382891|2993059154|2909876403|2780681812|2780240981|2780201653|2778023031|2909260628|2776009145|2775909530|2909230203|2778188732
Nanofiber,91129048,2,171250308|159985019|42360764,144796933|2778492550
Colonialism,531593650,2,199539241|2549261|15708023,2780204834|2778197103|123719069|2777187647
Adaptive algorithm,2776003309,2,11413529|126255220|65244806,
Vascular permeability,113045295,3,555293320|120882062,""
Interphase,29452124,2,54355233|153911025|95444343,""
Asymptotic distribution,65778772,3,185429906,""
Tacrolimus,2909675724,4,2911091166,2776048202|2779719350|2910110182
Textile,164767435,2,159985019|166957645,""
Instrumental variable,162144332,2,50522688|105795698|149782125,""
Orbit,148554410,2,1276947|62520636,""
Land cover,2780648208,3,4792198,""
Fodder,513193947,2,6557445|140793950|144027150,""
Inbreeding,2777782036,3,2908647359,4434336|60285574|1244910|172147287|24218269
Conceptualization,90734943,2,41895202|77805123|154945302,
Anthocyanin,2778945092,3,64584667,2909389164|2909708105|2781267450|2777667348
Rhodopsin,202033177,4,170493617|2777093970|2780827179,29316995|2778464676|2910244485|2910176454|2911191448|2910223301|135689187|2910919651|3449773|149574991|2911124849|2993906673|2908771736|30028475|183456188|2909722271
Cretaceous,12294951,2,17409809|151730666|114793014,2776405364|2776837868|2777634094|204330871
Mate choice,54779947,2,78458016|54355233|18903297,2909347525|107653222|12411756|2780402383|2777883699|2780185693
Corpus callosum,2778183499,4,143409427,2908907780|2908731911|2777483400|2780830986|2911173652|2910596629|2910310684|2909137963|2779490353|2992961077|2776643646|2777058501|2992071755|2779934287|2991889874|2909295966|2910220016|59214195|2777886324|115459068
Carbon tetrachloride,2777359374,2,179104552|55493867|178790620,""
Impaired glucose tolerance,2780609358,5,2777391703,
Cytopathology,2778654104,4,121608353,""
Lagrange multiplier,73684929,2,126255220|28826006|134306372,""
Gaussian function,7218915,3,163716315,51267290
Pascal (unit),75608658,2,159985019|62520636|97355855,68800169|2992797075|30335454|65482303
Mannose,2775887612,2,153911025|55493867|178790620,2777174400|2909593441|2779213145
Imitation,126388530,2,77805123|169760540,34868163|150065254
Atomic theory,131707115,3,181819025|147120987,""
Streamflow,53739315,3,126645576|75673492|107054158,2780852570|76856003
Pi,53009064,2,2524010|125565743,2992907065
Risk aversion,67986102,2,175444787|10138342,2779871187
Opportunity cost,68359772,2,50522688|175444787|10138342,
Naphthalene,2779255514,2,179104552|75473681|178790620,""
Medicaid,2776534028,3,160735492,2910687720
Interleukin 5,181901479,5,74172505,
Connectivity,76444178,4,118311129,612898
Impulse (physics),70836080,2,62520636|74650414,2994379406|2781325599
Site selection,2780561860,2,18903297|199539241,
Cystic fibrosis transmembrane conductance regulator,2778428886,4,501734568|2776938444,2777893369|2908990898|2776502428|2777313150
Sterility,2776687438,2,54355233|59822182,""
Jamming,2779079576,2,78519656|76155785|24326235,""
Docetaxel,2781190966,4,121608353|2776694085,2778971682
Selection bias,40423286,2,105795698|141071460|142724271,
Bile acid,2779399885,3,555293320,2780749602|2775936931|89673097|2909400297|2910989996|2775900799|39321552|2780480987|2909024991
Social mobility,37129596,2,50522688|36289849|45355965,""
Deoxycytidine,2777844706,4,121608353|2776694085,2776077916|2779268695
Fluidization,194832619,3,"",""
Duct (flow),204322289,2,78519656|24890656|97355855,171170018|2910990653|2911042189
Population decline,2779860289,3,185933670|2908647359,
Particle image velocimetry,207857233,4,196558001,""
HMG-CoA reductase,104950815,4,134651460|2778163477,2909941752|2777050350|2781270367
Bioconversion,2780074830,3,100544194|181199279,""
Myofibroblast,207865475,4,2780559512,2910420279
Human Males,2908834699,2,138496976|77805123|70410870,
RNA Stability,2908862693,4,67705224|150194340|105580179|34601148,""
Corpus luteum,2776608385,4,2779234561|71315377|2778324911,2777330693|2908635310
Paleogene,204330871,3,109007969|12294951,2779015071
Tissue factor,186738567,4,82706917,2777151630|2777269951
Interleukin 13,32046619,5,191732599,
Polishing,138113353,2,78519656|191897082|159985019,""
Enteritis,2780031333,3,555293320,""
Fixed effects model,44970651,3,2779600286,""
Precursor cell,124964019,3,1491633281,""
Pedestrian,2777113093,2,44154836|147176958,2989258887
Group method of data handling,13926793,2,119857082|124101348|77088390,""
Paramagnetism,124712363,2,26873012|46141821|115704247,""
Cholinergic,22885893,3,555293320,2908971308|104966671|2776287375|2910465909|198399640|2781234232|2910180155|2993864831
Succinate dehydrogenase,2781330172,4,28859421,2779620337|2780744430
Sorbitol,2776779347,2,31903555|178790620|55493867,2777905771|2910150037
Immediate early gene,2779555244,4,105580179|150194340|529278444,2909606342|25312863
Orbitofrontal cortex,2776559556,4,2781195155,2777360692|2909060277
Esophagitis,2779920096,5,"",
Argumentation theory,65059942,2,111472728|41895202|15708023,""
Gene delivery,135983454,4,111599444|54009773,""
Extraversion and introversion,127816348,3,187288502,170760736|172141706
Autobiographical memory,144814538,3,100660578|169900460,2911097856|179833586|43179766|196823706
Captivity,2776787076,2,90856448|18903297|105702510,""
Isotope dilution,171679685,3,164304813|162356407,""
Pneumocystis carinii,2993443204,3,555293320,2909621769|2911076354
Abdominal wall,2778754067,3,555293320,2776891056|2909058232
Statistical physics,121864883,1,121332964,99874945|164602753|135694725|2992936459|95514000|141123601|2988881298|113748116|51329190|2778385709|112401455|2777577648|2780713532|143002175|2780004032|172686274|2994209358|2994431696|2984941268|2984125019|2987952606|170623327|2987765601|193999330|2993325036|2993421932|207282930|130402806|2993738487|186659197
GABAA receptor,168258287,4,170493617,2775853184|2776985218|2778409475|2777947907|2993650703|2776974865|2777563678|44796713|2776254256|2780763569|2993875892|101027131|2778831291|2777969728|2993517136|2779324764|2777422686|2781401444|2778338918|198632942|2779188335
Click chemistry,69610077,2,21951064|178790620,930959
Tubercle,162884822,4,2781069245,2908742344
Palynology,162501224,3,2816523|2780618852|172427765,""
Computerized adaptive testing,144352353,2,119857082|149782125|105795698,""
Rotational speed,81063470,2,78519656|65244806,""
Fusarium oxysporum,2779430813,2,144027150|59822182|89423630,""
Botrytis cinerea,2775867217,2,144027150|59822182|89423630,""
Amphipoda,2778324211,3,84766238,2778851329|2778323361|2780979011|2781137830|2780359950|2777464215
Sunflower oil,2780556605,2,31903555|178790620|55493867,
Data set,58489278,2,11413529|119857082|124101348,2986338914|2988432402|2993817653
Breast cancer cells,2993156801,5,96232424|530470458,
Argonaute,201853390,5,2191507|22615655,
Habit,44670240,2,542102704|77805123|59822182,2778184152|2993926209|2781436090|38116347
Nocodazole,2779363559,5,29537977,
Hamiltonian mechanics,136864674,3,173941050,""
Unified field theory,46451288,2,33332235|62520636,
Thresholding,191178318,2,119857082|31972630|178980831,2987995756
Job design,139140526,4,"",""
Integer,4071166,2,118615104|134306372|114614502,""
Discrete element method,171872576,3,102725377,69901531
Forelimb,2778646069,2,141071460|169760540|105702510,""
Transformative learning,70587473,2,138496976|36289849|19417346,""
Zona pellucida,2776010925,4,2776690073,2910492233
Kerosene,2778192735,2,548081761|178790620|97355855,""
Pseudopodia,199528912,4,125705527,140641546|2909140899|2909401653
Specular reflection,118381688,2,49040817|62520636|120665830,50045419
Daphnia magna,2780158794,4,29730261,2910068570|2780035243|2909951997
Ammonium nitrate,2776617377,3,537208039,2779105057
Delusion,2779043874,2,118552586|70410870,""
Cytokeratin,2779012181,4,204232928|121608353,2778734973
Docking (molecular),123015428,3,137616902|181199279,2780152424|2993762249|44695244|2993061711|41847442|77319485
U937 cell,108634530,4,190283241,""
Carboniferous,149918038,3,109007969,""
Amlodipine,2779646130,4,84393581,""
Heat resistance,2985797610,3,169260993,""
Group delay and phase delay,123792056,2,24326235|120665830|65244806,
Superinfection,2779617845,3,2522874641,2911039588
Propylene glycol,2778013870,2,43617362|178790620|13965031,""
Phenylalanine ammonia-lyase,2778112864,4,162008176|2777431362,2910916158|2781290127
East mediterranean,2992597168,4,2779043415,""
Cancer biology,2994560698,4,121608353,""
GTPase,207332259,3,41625074,2778917187|2779264165|23167141|2781335528|2780040266|2909293868|126619667|2779492243|2779717556|2908705559
Barrett's esophagus,2778589982,4,2777819096|121608353|2778451229,2778212937|2776309307|2910302333|2777169287
Turgor pressure,87865070,3,1491633281,""
Transposase,172510086,5,4918238,
Oseltamivir,2780374985,4,89623803|134164806,2781442963|2777538117|2779317211|2780391423
Multiple-criteria decision analysis,11105738,2,539667460|21547014|42475967,""
Nervous tissue,2777921445,2,169760540|105702510|142724271,
Macular edema,2780347916,4,2780827179|2778257484,2910140087
Lamiaceae,2777143434,2,18903297|556039675|59822182,""
Probabilistic analysis of algorithms,24404364,3,49937458,""
Molecular cell biology,2991849723,3,502701156,
DNA Ligases,2908738455,5,134935766,
Appendix,2776364125,3,555293320,2781345968
Von Hippel–Lindau disease,2778886567,4,2776148792|2779134260|2777466421,2780840096
Perceptron,60908668,3,50644808,""
International community,2779872411,3,94625758,""
Data model,9476365,2,124101348|23123220|77088390,40077939|203702819
Peptidylprolyl isomerase,2910677434,5,2781264208,
Supreme court,2778272461,2,3116431|199539241|190253527,47855350
Alertness,200678441,2,42219234|118552586|98274493,""
Ordovician,91442348,2,17409809|151730666|114793014,""
Gestalt psychology,27362006,2,180747234|15708023,""
Teicoplanin,2776703206,5,2778980435,
Nuisance,2779244815,2,199539241,""
Trade offs,2983858483,2,18903297,
Transcranial Doppler,191616109,4,518460624|178853913,2911122627|2908680295
Artesunate,2778059366,5,2778371730,
Health indicator,121272143,3,160735492|138816342|2908647359,
Sprouting,2778241760,2,6557445|59822182|144027150,""
Data stream mining,89198739,2,119857082|124101348|77088390,60777511
Lower urinary tract symptoms,2779478474,5,2776235491,
Homocystinuria,2779375456,5,2777090595,
Open innovation,148415826,2,162853370|56739046,""
Botulism,2779186577,3,555293320|2777367657,""
Avena,2779908699,2,6557445|59822182|144027150,2778886592
Chalcone,2780764945,3,"",2779494741
Clinical decision making,2989179672,3,555293320,
Insular cortex,2780539906,2,138496976|169760540|105702510,
Euryarchaeota,2778660952,4,42062724|550995028,2781044624|2778490862|2781355283|2781243726
Surveyor,23588892,3,2778025104,""
Autosome,134925867,5,35158069,
Implicit learning,2777379011,3,169900460,2778652600|2993656883|2777840598
Daylight,149277555,2,1276947|120665830,
Nonlinear dimensionality reduction,151876577,3,178207025|70518039,153120616|2778626561|55128770
Electroacupuncture,2776202274,4,"",""
Nitrone,2779440280,4,"",""
Green Revolution,112939947,3,118518473|137580998,2780716350
Sting,2779300339,2,203014093|146978453|97355855,2777030493|2909251487
Cognitive decline,2984863031,5,2779483572,
Primaquine,2776793103,5,2777425658,
Congenital diaphragmatic hernia,2777146472,4,172680121|2777714996,2778803570|2779564212
Anterior cruciate ligament reconstruction,2780887989,3,2778434673,2911028106|2909627459|2909083084
Hepcidin,2776768029,4,2776914184|2778248108|62231903,2775989426|2777588556|2776710925|2777800055
Cardiovascular physiology,183683566,3,555293320,
Satellite tracking,2985889645,3,19269812,""
Olfactory epithelium,2780187430,4,170493617,2779285768|2781103147|2779404012|2780298061
Bacterial artificial chromosome,182901222,4,30481170|141231307,""
Scabies,2781443149,3,555293320,2776599699
Freshwater fish,2776654248,2,90856448|18903297|505870484,""
Carbapenem,2776685102,3,555293320|501593827|523546767,""
Helper virus,144001008,4,67705224|141231307|140704245|40767141,""
Data interpretation,2983099979,2,,
Stimulus control,57022672,3,147004232|67203356,43838033
Coronary arteries,2778742706,4,2776820930,2777169287|2778212937|2776309307|2910302333|2911210142|2781027423
Petiole (botany),204447170,2,18903297|59822182|144027150,""
Euchromatin,100924687,5,103435993,
Gadidae,2778510112,3,2777883778,2911097668
Mitral valve prolapse,2781030672,4,2777543888,""
Private good,178667848,3,162222271,
Conjugate,197336794,2,55493867|178790620|71240020,""
Trajectory optimization,173246807,3,91575142|13662910,
Random access,101722063,2,79403827|9390403|31258907,""
Coral reef fish,144492951,3,77044568|79367842|185933670,2777554051|2777860968|2777291150|2776186128|2775923376
Surface-enhanced Raman spectroscopy,2777790068,4,169573571,
Erwinia,2778495000,3,523546767,2776496690
Bran,2776873940,3,206139338,2992245215
Myogenin,97816823,5,3763915,
Critical speed,179093217,3,198394728|17281054,""
Deprotonation,118629725,3,145148216|85551212,""
Code refactoring,152752567,3,2777904410,2780886887
Phonemic awareness,2781246517,3,547764534,""
Dimethoate,2777135647,3,161176658,""
Bicuspid aortic valve,2781355080,4,2780007028|2779980429|2780714102,""
American Sign Language,2776737515,3,522192633,""
Parahippocampal gyrus,2778048536,5,2781099131,
Furin,2777265534,3,137214850|181199279,2909294944
Bathing,2778826615,3,2779600286,""
Rheometer,196445361,3,127172972|200990466|75673492|82659022,""
Externalization,2779379281,4,190283241,""
Proposition,2777152325,2,111472728|41895202|15708023,""
Reimbursement,2779703844,3,160735492,""
Signal recognition particle,186175293,5,88478588|10858879,
Currently Married,2909647043,5,2986817661,
Human chorionic gonadotropin,2775948956,4,2779234561|71315377,2908628211
Visual control,2780527621,2,44154836|31972630|21547014,
Lymphotoxin,61879462,4,17991360|170493617|2778690821,103813035
Taenia solium,2911202600,4,2778056992,2776220810
Fosfomycin,2778897966,4,4937899,""
Neurocysticercosis,2780449708,4,2778056992|529278444,""
Neuronal migration,2909943617,3,104317684,""
Maternal death,2908892503,4,83864248|2779234561,""
Low vision,2983447183,2,118487528|119767625,""
Ralstonia solanacearum,2780675535,5,2776460866,
Danish,164622146,2,41895202,""
Cobalamin,2780676250,4,2779750884,2780149769|2910256814|2780055570|2777233171|2778979354
Miscanthus,2779012619,5,156380964,
Telmisartan,2779716603,4,84393581,""
Impedance parameters,113805353,3,17829176|137127113,""
Enrofloxacin,2779906673,5,2778512257,
CCL2,101666144,5,13373296,
Burrow,175422226,2,90856448|18903297|105702510,2909995257
Mucor,2776783722,3,2779175654|2777484150,2776628955
Geographical isolation,2992274854,3,2908647359,
Ecological systems theory,47318914,2,18903297|107826830|91375879,
Epiretinal membrane,2781325737,5,"",
Neural system,2986949344,2,138496976|180747234|169760540,2984928688
Anthropocene,128370203,2,18903297|151730666|95124753,""
Amidase,65588867,3,181199279|94412978|523546767,2910315181
Landscape structure,2993347294,3,185933670,
Paclobutrazol,2778501071,2,6557445|59822182|144027150,
Blast Crisis,2909145159,4,2778461978|2778729363|2779134260|2780007613,""
Electrical conduit,89836073,2,78519656|119599485|15708023,2994041661
Spark plug,164205550,3,2779600286,4924752
Dysgerminoma,2776252090,4,2778324911,""
Martinique,2909528719,2,97137747|2549261|15708023,""
Epworth Sleepiness Scale,2778664715,4,2778205975|2776006263,""
Alcohol use disorder,2779442783,3,555293320|2781066024,
High dimensional space,2987376708,2,11413529|119857082|178980831,
Presbyopia,2779909278,3,198809072,""
Avian influenza virus,2993559633,4,519248777,2908953726|2908796399
Language assessment,166007726,2,145420912|41895202|19417346,40586070
Wilcoxon signed-rank test,206041023,2,105795698|141071460,""
Prescription drug,2778858636,3,2426938|2780035454,101864126
Modeling language,179603123,3,2777904410,""
Intentional learning,2991962067,4,2991789358,
Aloe vera,2779404486,2,31903555|59822182|556039675,2777055731
Nanosheet,51967427,2,171250308|178790620|42360764,
Optic neuropathy,2778233873,4,2779134260|2780837183,2777056713
Dynamic loading,2776639496,2,66938386|159985019|77595967,
Phenylmethylsulfonyl Fluoride,2909400048,4,2776714187|2780865716,""
Social ecological model,172606299,2,18903297|77805123|142724271,
Shield,138081364,3,2779600286,""
Endothelial progenitor cell,2780152582,5,201750760|2780394083,
Dynamic equilibrium,135136745,2,97355855|147789679,""
Tocilizumab,2777178219,5,2777575956,
Light field,48983235,2,49040817|120665830|31972630,""
Gigantism,2777872460,3,555293320,""
Microbial genetics,103316784,5,190139176,
Physical separation,2992531708,2,43617362,
Mesothelial Cell,2909640154,3,555293320|1491633281,2779747549
Flatfish,2779950014,2,18903297|111368507|505870484,2778115389|2778662190
Continuation,88626702,2,199360897,""
Identification technology,2987879589,2,9390403,
Abyssal zone,173815673,3,2816523,33215358
Medulla,17291353,3,555293320|34107064,2776956477|2778448598
Dexamethasone suppression test,2780455818,4,2778709874|2780401358,""
Begomovirus,2779263152,4,109110057|141231307|2779134260,2910283316|2778902285|2910932942
Cystometry,2780080261,5,175768497,
Saponification,15761196,2,43617362|55493867|178790620,
Translational regulation,39685955,4,67705224|105580179|150194340,""
Wechsler Intelligence Scale for Children,78170620,4,166047926,""
Sarin,2780292010,2,55493867|33070731|98274493,""
Women's Health Initiative,2780733421,4,23131810,
Anxiolytic,2777765862,4,170493617|558461103,2776974865|2776595210|205044023
Differential impact,2991977684,2,77805123,
Breast cancer screening,2778491387,5,530470458,
Automatic differentiation,133512626,3,45374587,139485218
Panicum,2780742232,2,18903297|6557445|59822182,2781319163
Blunt trauma,2777521253,3,555293320,""
Vagueness,2776825360,3,58166,""
Clan,52826635,2,19165224|199539241|15708023,""
Sulfolobus solfataricus,2780631447,4,550995028,2780249985|2779287935
Interleukin 22,50345908,5,74172505,
Muscle force,2984285968,2,1862650|141071460|105702510,
Cognitive complexity,171022839,3,169900460,
Critical limb ischemia,2781099653,5,2779464278,
Radiometric calibration,2778522173,3,19269812|170187044|165838908,""
Ventricle,2778921608,3,555293320,2779872610|2992169672|2910288590|2776064143|2779376020|2779545397|2778297461|123576724|2776113144|2911142781
Fluorescence-Activated Cell Sorting,2909456617,4,553184892,
Nordihydroguaiaretic acid,2776889390,4,2780857362|2778078955,""
Heavy traffic approximation,193290586,2,126255220|28826006|134306372,
Deficit irrigation,195092306,4,110158866,""
Gene selection,2984324147,5,186836561|8415881,
Spindle checkpoint,175732170,5,29537977|192838845,
Flip-flop,2781007278,2,9390403|24326235|119599485,
Arthrogryposis,2781111119,3,555293320,""
Kidney development,2777632694,4,145103041|2780091579,130010870|2909063279
Homophily,2779812341,3,86256295,""
Furazolidone,2778043744,3,555293320|501593827,""
Workflow management system,140824633,3,177212765,163888707|2776602436|2986175951
Coding system,2988850624,3,179518139,
Action plan,2780210234,2,18903297,
